name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madagascar,2021-11-14,32,16,23.1,30.1,16,22.7,13.7,62.7,0,0,0,,0,0,34.2,18.4,80.7,1020.6,44.5,11.9,350.1,30.3,10,,2021-11-14T05:04:39,2021-11-14T18:04:13,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-15,31,17,22.8,29.4,17,22.4,13.3,62.7,17,100,4.17,rain,0,0,24.8,18.4,72.3,1020.3,72.5,12.1,317.1,27.4,10,,2021-11-15T05:04:25,2021-11-15T18:04:47,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-16,30,16,22.2,28.8,16,22,14.3,65.3,4,100,4.17,rain,0,0,31.3,24.1,104.9,1018.3,49.4,12.2,338.1,29.2,10,,2021-11-16T05:04:12,2021-11-16T18:05:21,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-17,31,16,22.8,29.7,16,22.6,13.9,63.6,0,0,0,,0,0,35.3,27.7,103.8,1019.4,36.2,12.2,347.5,30.1,10,,2021-11-17T05:04:01,2021-11-17T18:05:55,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-18,28,14,20.9,27.2,14,20.7,11.3,61.5,0,0,0,,0,0,39.6,27.7,105.9,1020.8,26,11.7,367.4,31.6,10,,2021-11-18T05:03:50,2021-11-18T18:06:30,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-19,30,12,20.7,28.5,12,20.4,12.1,64.8,0,0,0,,0,0,36.4,27.7,108.7,1019.2,41.4,12.5,368.2,31.7,10,,2021-11-19T05:03:42,2021-11-19T18:07:06,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-20,30,15.2,22,29.2,15.2,21.8,14.6,67.3,0,0,0,,0,0,29.5,25.9,91.8,1017.1,68,11.8,268.1,23.2,9,,2021-11-20T05:03:34,2021-11-20T18:07:42,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-21,30.3,18,23.3,29.2,18,23.1,14.8,62.8,0,0,0,,0,0,25.2,25.9,106.4,1016.8,71.8,12.1,235,20.2,10,,2021-11-21T05:03:28,2021-11-21T18:08:18,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-22,30,18,23.3,29.2,18,23.1,14.3,60.2,0,0,0,,0,0,34.6,22.3,109.5,1018.5,62.7,12.2,267.6,23.2,10,,2021-11-22T05:03:23,2021-11-22T18:08:54,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-23,30,17,23.3,29.7,17,23.2,14.5,61.9,2,100,4.17,rain,0,0,31,18.4,359,1017.8,65.1,13.4,285.4,24.6,10,,2021-11-23T05:03:19,2021-11-23T18:09:30,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-24,32,19,24.5,31.6,19,24.5,17.5,68.7,2,100,4.17,rain,0,0,40.7,29.5,298.5,1015.5,52.2,12.9,268.1,23.1,9,,2021-11-24T05:03:17,2021-11-24T18:10:07,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-25,31,18,22.6,31.4,18,22.7,17.4,75.5,23,100,4.17,rain,0,0,30.6,20.3,140.4,1017,57.4,11.5,242.4,21.1,8,,2021-11-25T05:03:16,2021-11-25T18:10:44,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-26,27.2,17,20.6,27.9,17,20.7,16.6,79.5,13,100,8.33,rain,0,0,39.6,25,122.8,1019.8,73.4,13.1,224,19.3,8,,2021-11-26T05:03:16,2021-11-26T18:11:21,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-27,29.5,17,21.1,29.3,17,21.2,16.9,80.2,35,100,4.17,rain,0,0,26.6,22.3,70.3,1018.9,87.4,11.3,200.1,17.3,7,,2021-11-27T05:03:18,2021-11-27T18:11:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-28,27,17.9,20.6,27.5,17.9,20.7,16.6,79.5,7,100,8.33,rain,0,0,34.6,27.7,113.5,1019.6,76.6,12.8,178.6,15.4,7,,2021-11-28T05:03:21,2021-11-28T18:12:36,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-29,27,17,21.1,27.5,17,21.1,16,74.2,0,0,0,,0,0,27,21.4,104.5,1019.7,81.9,13.6,216.1,18.8,8,,2021-11-29T05:03:25,2021-11-29T18:13:13,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-30,28,17,21.9,28.6,17,22,16.7,74.8,0.8,100,4.17,rain,0,0,25.9,24.1,99.8,1019.4,73.2,12.9,265.1,22.8,8,,2021-11-30T05:03:31,2021-11-30T18:13:51,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"67083099999,FMMI"
Madagascar,2021-12-01,28,16,21.6,28,16,21.6,15.8,73.2,5.2,100,4.17,rain,0,0,30.6,25.9,99.1,1020.5,55.9,12.8,293.4,25.4,10,,2021-12-01T05:03:37,2021-12-01T18:14:28,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
Madagascar,2021-12-02,24,16,19.5,24,16,19.5,14.8,75.8,0,0,0,,0,0,42.5,27.7,117.8,1021.9,58.6,12.4,224.6,19.5,7,,2021-12-02T05:03:45,2021-12-02T18:15:06,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-12-03,27,14,20.4,27.1,14,20.4,13.4,66.9,0,0,0,,0,0,44.6,25.9,115.6,1022.8,36.5,13.6,333.7,28.8,10,,2021-12-03T05:03:55,2021-12-03T18:15:43,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-12-04,27,17,21.4,27.5,17,21.5,15.3,70,0,0,0,,0,0,33.8,24.1,111.2,1023,63.7,13.7,230.3,19.9,7,,2021-12-04T05:04:05,2021-12-04T18:16:21,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-12-05,29,15,21.8,28.4,15,21.7,14.5,68.2,0,0,0,,0,0,33.5,24.1,106.3,1023,39.3,12.8,347.2,29.9,10,,2021-12-05T05:04:17,2021-12-05T18:16:58,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"67083099999,FMMI"
